Establishment,ICT,BIOLOGY,GEOLOGY,HISTORY,ECONOMICS,GEOGRAPHY,MARKETING,DATA PROCESSING,BUSINESS MATHEMATICS,BUSINESS MANAGEMENT,PHYSICS,MATHEMATICS AND MECHANICS,CHEMISTRY,PHILOSOPHY,LITERATURE IN ENGLISH,RELIGIOUS STUDIES,PURE MATHEMATICS WITH STATISTICS,FRENCH,FOOD SCIENCE AND NUTRITION,FURTHER MATHEMATICS,PURE MATHEMATICS WITH MECHANICS,COMMERCE AND FINANCE,ENGLISH LANGUAGE,COMPUTER SCIENCE,ACCOUNTING,LAW,COMMUNICATION SKILLS,SECRETERIAL ADMINISTRATION,ENGINEERING SCIENCE
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,null,null,E,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,O,null,E,B,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,C,null,null,null,null,null,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,C,B,null,null,null,null,null,null,null,null,D,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,B,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,F,null,null,null,null,null,null,null,null,B,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,E,null,E,null,null,null,null,null,null,null,O,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,E,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,null,null,null,null,null,null,null,null,null,null,,B,null,,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,C,null,E,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,C,null,null,null,null,null,null,null,null,E,F,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,C,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,C,B,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,null,C,null,A,B,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,D,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,A,A,null,null,null,null,null,null,null,null,null,null,X,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,null,null,E,A,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,D,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Science,null,A,null,null,null,null,null,null,null,null,E,null,B,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,null
Faculty of Education,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,E,null,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,C,D,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,A,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,C,null,null,D,null,null,null,null,E,null,null,null,null,null,null
Faculty of Education,null,null,null,B,E,null,null,null,null,null,null,null,null,E,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,B,null,C,C,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,C,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,D,D,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,D,null,null,null,null,null,null,null,B,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,null,null,E,A,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,O,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,F,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,null,null,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,C,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,E,null,null,null,null,null,null,null,null,null,null,E,null,null,null,D,null,B,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,null,F,B,null,null,null,null,null,null,null,null,null,null,null,B,null,null,O,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,C,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,E,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,B,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,D,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,O,null,null,null,null,null,null,null,null,null,D,B,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Science,null,,null,null,null,null,null,null,null,null,F,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,A,null,null,null,B,A,null,null,null,null,null,null,null,null,null,null,null,A,null,null,E,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,B,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,D,E,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,F,F,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,null,null,null,null,null,null,null,null,null,D,A,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,C,E,null,null,null,null,null,null,null,null,null,null,O,null,null,null,F,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,E,B,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,A,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,F,null,D,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,C,null,C,A,null,null,null,null,null,null,null,null,null,null,null,A,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,C,A,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,A,B,A,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,E,D,C,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,B,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,O,null,null,null,null,null,null,null,null,D,null,E,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,A,B,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,,A,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,E,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,,,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,C,E,E,F,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,O,null,null,null,null,null,null,null,null,E,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,C,null,null,null,null,null,null,null,null,null,null,B,null,null,E,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,E,E,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,null,null,null,F,O,null,null,null,null,null,null,null,null,null,null,null,D,null,null,O,null,null,null,null
Faculty of Social and Management Sciences,null,null,B,null,B,null,null,null,null,null,null,null,null,null,null,A,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,F,null,null,null,null,null,null
Faculty of Science,null,E,C,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,null,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,,,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,A,null,D,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,null,null,null,null,null,null,null,null,null,null,,null,null,,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,,F,null,null,null,null,null,null,null,null,D,,B,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,D,null,null,D,null,null,null,null,O,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,O,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,E,null,null,null,null,null,null,null,C,null,null,O,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,E,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,null,null,null,null,null,null,null,null,C,E,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,O,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,A,null,C,C,null,null,null,null,null,null,null,null,null,null,null,A,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,B,null,E,A,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,C,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Education,null,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,C,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,D,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,null,D,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,C,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,A,null,A,null,A,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,C,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,null,null,null,null,null,null,null,null,null,null,B,null,null,C,null,null,null,null,C,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,D,B,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null
Faculty of Arts,E,null,null,E,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,E,O,null,null,null,null,null,null,null,null,null,F,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,C,D,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,C,null,null,C,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,null,E,null,null,C,null,null,null,null,null
Faculty of Social and Management Sciences,B,C,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,C,null,null,E,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,null,null,null,null,null,null,null,null,E,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,null,null,null,null,null,null,null,null,null,E,D,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,E,null,null,null,null,null,null,null,null,null,C,null,null,D,null,null,null,null,E,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,E,null,null,null,null,null,null,D,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,D,null,null,null,A,D,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B,null,null,C,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,E,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,E,null,null,null,null,null,null,null,null,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,B,null,null,null,C,B,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,,null,,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
